Player,Club,Years,Apps,Goals
Olivier Giroud,Grenoble,23,2
Olivier Giroud,Istres (loan),33,14
Olivier Giroud,Tours,67,36
Olivier Giroud,Montpellier,73,33
Olivier Giroud,Arsenal,180,73
Olivier Giroud,Chelsea,75,17
Olivier Giroud,AC Milan,93,38
Olivier Giroud,Los Angeles FC,10,4
Thomas Müller,Bayern Munich II,35,16
Thomas Müller,Bayern Munich,472,144
Mesut Özil,Schalke 04,30,0
Mesut Özil,Werder Bremen,71,13
Mesut Özil,Real Madrid,105,19
Mesut Özil,Arsenal,184,33
Mesut Özil,Fenerbahçe,32,8
Mesut Özil,İstanbul Başakşehir,12,1
Manuel Neuer,Schalke 04 II,26,0
Manuel Neuer,Schalke 04,156,0
Manuel Neuer,Bayern Munich,342,0
Philipp Lahm,Bayern Munich II,63,3
Philipp Lahm,VfB Stuttgart (loan),53,2
Philipp Lahm,Bayern Munich,332,12
Bastian Schweinsteiger,Bayern Munich II,34,2
Bastian Schweinsteiger,Bayern Munich,342,45
Bastian Schweinsteiger,Manchester United,18,1
Bastian Schweinsteiger,Chicago Fire,85,8
Miroslav Klose,FC 08 Homburg II,15,1
Miroslav Klose,FC 08 Homburg,18,1
Miroslav Klose,Kaiserslautern II,50,26
Miroslav Klose,Kaiserslautern,120,44
Miroslav Klose,Werder Bremen,89,53
Miroslav Klose,Bayern Munich,98,24
Miroslav Klose,Lazio,139,54
Michael Ballack,Chemnitzer FC II,18,0
Michael Ballack,Chemnitzer FC,49,10
Michael Ballack,Kaiserslautern,46,4
Michael Ballack,Bayer Leverkusen (1st spell),79,19
Michael Ballack,Bayern Munich,107,44
Michael Ballack,Chelsea,105,17
Michael Ballack,Bayer Leverkusen (2nd spell),35,2
Lothar Matthäus,Borussia Mönchengladbach,162,36
Lothar Matthäus,Bayern Munich (1st spell),113,57
Lothar Matthäus,Inter Milan,115,40
Lothar Matthäus,Bayern Munich (2nd spell),189,28
Lothar Matthäus,MetroStars,16,0
Jürgen Klinsmann,Stuttgarter Kickers,61,22
Jürgen Klinsmann,VfB Stuttgart,156,79
Jürgen Klinsmann,Inter Milan,95,34
Jürgen Klinsmann,Monaco,65,19
Jürgen Klinsmann,Tottenham Hotspur,68,29
Jürgen Klinsmann,Bayern Munich,65,31
Jürgen Klinsmann,Sampdoria,8,2
Jürgen Klinsmann,VfB Stuttgart (return),8,2
Jürgen Klinsmann,Orange County Blue Star,8,5
Oliver Kahn,Karlsruher SC II,73,0
Oliver Kahn,Karlsruher SC,128,0
Oliver Kahn,Bayern Munich,429,0
