name,nationality,club,league,position,age
Álex Remiro,Spain,Real Sociedad,La Liga,GK,30
Nacho,Spain,Real Madrid,La Liga,CB,35
Marc Roca,Spain,Real Betis,La Liga,CM,28
Samu Omorodion,Spain,Atlético Madrid,La Liga,ST,21
Renan Lodi,Brazil,Marseille,Ligue 1,LB,27
Pierre-Emerick Aubameyang,Gabon,Marseille,Ligue 1,ST,36
Jonathan Clauss,France,Marseille,Ligue 1,RB,32
Jordan Veretout,France,Marseille,Ligue 1,CM,32
Samuel Gigot,France,Marseille,Ligue 1,CB,31
Pau López,Spain,Marseille,Ligue 1,GK,30
Geoffrey Kondogbia,Central African Republic,Marseille,Ligue 1,CDM,32
Amine Harit,Morocco,Marseille,Ligue 1,CAM,28
Alexis Sánchez,Chile,Internacional,Brazil Serie A,ST,36
Felipe Anderson,Brazil,Palmeiras,Brazil Serie A,RW,32
Dani Olmo,Spain,RB Leipzig,Bundesliga,CAM,27
Loïs Openda,Belgium,RB Leipzig,Bundesliga,ST,25
Xavi Simons,Netherlands,RB Leipzig,Bundesliga,CAM,22
Benjamin Šeško,Slovenia,RB Leipzig,Bundesliga,ST,22
David Raum,Germany,RB Leipzig,Bundesliga,LB,27
Willi Orbán,Hungary,RB Leipzig,Bundesliga,CB,32
Janis Blaswich,Germany,RB Leipzig,Bundesliga,GK,34
Kevin Kampl,Slovenia,RB Leipzig,Bundesliga,CM,34
Ángel Correa,Argentina,Atlético Madrid,La Liga,ST,30
Reinildo Mandava,Mozambique,Atlético Madrid,La Liga,LB,31
Thomas Lemar,France,Atlético Madrid,La Liga,LW,29
Memphis Depay,Netherlands,Atlético Madrid,La Liga,ST,31
Rodrigo Riquelme,Spain,Atlético Madrid,La Liga,LW,25
Pablo Barrios,Spain,Atlético Madrid,La Liga,CM,22
Andriy Yarmolenko,Ukraine,Dynamo Kyiv,Ukrainian Premier League,RW,35
Viktor Tsygankov,Ukraine,Girona,La Liga,RW,27
Artem Dovbyk,Ukraine,Girona,La Liga,ST,28
Aleix García,Spain,Girona,La Liga,CM,28
Pablo Torre,Spain,Girona,La Liga,CAM,22
David López,Spain,Girona,La Liga,CB,35
Paulo Gazzaniga,Argentina,Girona,La Liga,GK,34
Cristian Portugués,Spain,Girona,La Liga,RW,33
Ander Herrera,Spain,Athletic Bilbao,La Liga,CM,36
Dani Vivian,Spain,Athletic Bilbao,La Liga,CB,26
Iñigo Lekue,Spain,Athletic Bilbao,La Liga,RB,32
Óscar de Marcos,Spain,Athletic Bilbao,La Liga,RB,36
Unai Gómez,Spain,Athletic Bilbao,La Liga,CM,22
Dani Olmo,Spain,RB Leipzig,Bundesliga,CAM,27
Ángel Gomes,England,Lille,Ligue 1,CAM,24
Jonathan David,Canada,Lille,Ligue 1,ST,25
Remy Cabella,France,Lille,Ligue 1,CAM,35
Benjamin André,France,Lille,Ligue 1,CM,34
Tiago Djaló,Portugal,Lille,Ligue 1,CB,25
Lucas Chevalier,France,Lille,Ligue 1,GK,24
Edon Zhegrova,Kosovo,Lille,Ligue 1,RW,26
Bafodé Diakité,France,Lille,Ligue 1,CB,24
Mohamed Simakan,France,RB Leipzig,Bundesliga,CB,25
Christopher Trimmel,Austria,Union Berlin,Bundesliga,RB,37
Robin Knoche,Germany,Union Berlin,Bundesliga,CB,33
Rani Khedira,Germany,Union Berlin,Bundesliga,CDM,31
Kevin Behrens,Germany,Union Berlin,Bundesliga,ST,34
Josip Juranović,Croatia,Union Berlin,Bundesliga,RB,30
Frederik Rønnow,Denmark,Union Berlin,Bundesliga,GK,33
Aïssa Laïdouni,Tunisia,Union Berlin,Bundesliga,CM,29
Sheraldo Becker,Suriname,Real Sociedad,La Liga,RW,30
Hugo Lloris,France,Los Angeles FC,MLS,GK,38
Paul Pogba,France,Juventus,Serie A,CM,32
Renato Sanches,Portugal,Roma,Serie A,CM,28
Paulo Dybala,Argentina,Roma,Serie A,ST,31
Tammy Abraham,England,Roma,Serie A,ST,27
Lorenzo Pellegrini,Italy,Roma,Serie A,CAM,29
Leonardo Spinazzola,Italy,Roma,Serie A,LB,32
Chris Smalling,England,Roma,Serie A,CB,35
Diego Llorente,Spain,Roma,Serie A,CB,32
Mile Svilar,Serbia,Roma,Serie A,GK,26
Gianluca Mancini,Italy,Roma,Serie A,CB,29
Bryan Cristante,Italy,Roma,Serie A,CDM,30
Andrea Belotti,Italy,Fiorentina,Serie A,ST,31
Rasmus Kristensen,Denmark,Roma,Serie A,RB,28
Mateo Retegui,Italy,Genoa,Serie A,ST,26
Albert Gudmundsson,Iceland,Genoa,Serie A,ST,28
Morten Thorsby,Norway,Genoa,Serie A,CM,29
Mattia Perin,Italy,Juventus,Serie A,GK,32
Giacomo Raspadori,Italy,Napoli,Serie A,ST,25
Daniel Maldini,Italy,Monza,Serie A,CAM,23
Andrea Colpani,Italy,Monza,Serie A,CAM,26
Armando Broja,Albania,Chelsea,Premier League,ST,24
Mario Götze,Germany,Eintracht Frankfurt,Bundesliga,CAM,33
Kevin Trapp,Germany,Eintracht Frankfurt,Bundesliga,GK,35
Randal Kolo Muani,France,Paris Saint-Germain,Ligue 1,ST,26
Lee Kang-in,South Korea,Paris Saint-Germain,Ligue 1,CAM,24
Gonçalo Ramos,Portugal,Paris Saint-Germain,Ligue 1,ST,24
Manuel Ugarte,Uruguay,Paris Saint-Germain,Ligue 1,CDM,24
Bradley Barcola,France,Paris Saint-Germain,Ligue 1,LW,22
Carlos Soler,Spain,Paris Saint-Germain,Ligue 1,CM,28
Marco Asensio,Spain,Paris Saint-Germain,Ligue 1,RW,29
Fabian Ruiz,Spain,Paris Saint-Germain,Ligue 1,CM,29
Presnel Kimpembe,France,Paris Saint-Germain,Ligue 1,CB,30
Layvin Kurzawa,France,Paris Saint-Germain,Ligue 1,LB,32
Gerson, Brazil, Flamengo, Brazil Serie A, CM, 28
Pedro, Brazil, Flamengo, Brazil Serie A, ST, 28
Gabigol, Brazil, Flamengo, Brazil Serie A, ST, 28
Arrascaeta, Uruguay, Flamengo, Brazil Serie A, CAM, 31
Toni Kroos,Germany,Real Madrid,La Liga,CM,35
Nacho Fernández,Spain,Real Madrid,La Liga,CB,35
Álvaro Rodríguez,Uruguay,Real Madrid,La Liga,ST,21
Dani Ceballos,Spain,Real Madrid,La Liga,CM,29
Joselu,Spain,Real Madrid,La Liga,ST,35
Mario Hermoso,Spain,Atlético Madrid,La Liga,CB,30
Axel Witsel,Belgium,Atlético Madrid,La Liga,CDM,36
César Azpilicueta,Spain,Atlético Madrid,La Liga,RB,36
Jan Oblak,Slovenia,Atlético Madrid,La Liga,GK,32
Memphis Depay,Netherlands,Atlético Madrid,La Liga,ST,31
Andrés Iniesta,Spain,Emirates Club,UAE Pro League,CM,41
Santi Cazorla,Spain,Real Oviedo,La Liga 2,CM,40
Adama Traoré,Spain,Fulham,Premier League,RW,29
Aleksandar Mitrović,Serbia,Al Hilal,Saudi Pro League,ST,31
André Gomes,Portugal,Everton,Premier League,CM,32
Arnaut Danjuma,Netherlands,Everton,Premier League,LW,28
Michael Keane,England,Everton,Premier League,CB,32
Seamus Coleman,Republic of Ireland,Everton,Premier League,RB,36
Idrissa Gueye,Senegal,Everton,Premier League,CDM,35
Ashley Young,England,Everton,Premier League,LB,40
Sepp van den Berg,Netherlands,Mainz,Bundesliga,CB,24
Karim Adeyemi,Germany,Borussia Dortmund,Bundesliga,LW,23
Salih Özcan,Germany,Borussia Dortmund,Bundesliga,CDM,27
Marius Wolf,Germany,Borussia Dortmund,Bundesliga,RB,30
Marcel Sabitzer,Austria,Borussia Dortmund,Bundesliga,CM,31
Felix Nmecha,Germany,Borussia Dortmund,Bundesliga,CM,24
Jamie Bynoe-Gittens,England,Borussia Dortmund,Bundesliga,LW,21
Ian Maatsen,Netherlands,Borussia Dortmund,Bundesliga,LB,23
Roman Bürki,Switzerland,St. Louis City,MLS,GK,34
Chris Durkin,USA,St. Louis City,MLS,CM,25
João Félix,Portugal,Barcelona,La Liga,ST,25
Marcos Alonso,Spain,Barcelona,La Liga,LB,34
Inaki Pena,Spain,Barcelona,La Liga,GK,26
Eric García,Spain,Girona,La Liga,CB,24
Clément Lenglet,France,Aston Villa,Premier League,CB,30
Samuel Umtiti,France,Lille,Ligue 1,CB,31
David de Gea,Spain,Free Agent,N/A,GK,34
Kepa Arrizabalaga,Spain,Real Madrid,La Liga,GK,30
Antonio Sanabria,Paraguay,Torino,Serie A,ST,29
Ricardo Rodríguez,Switzerland,Torino,Serie A,LB,32
Perr Schuurs,Netherlands,Torino,Serie A,CB,25
Vanja Milinković-Savić,Serbia,Torino,Serie A,GK,28
Nemanja Radonjić,Serbia,Torino,Serie A,LW,29
Wilfried Singo,Ivory Coast,Monaco,Ligue 1,RB,25
Aleksandr Golovin,Russia,Monaco,Ligue 1,CAM,29
Wissam Ben Yedder,France,Monaco,Ligue 1,ST,35
Youssouf Fofana,France,Monaco,Ligue 1,CDM,26
Takumi Minamino,Japan,Monaco,Ligue 1,RW,30
Breel Embolo,Switzerland,Monaco,Ligue 1,ST,28
Caio Henrique,Brazil,Monaco,Ligue 1,LB,28
Guillermo Maripán,Chile,Monaco,Ligue 1,CB,31
Kevin Volland,Germany,Union Berlin,Bundesliga,ST,33
Ángel Di María,Argentina,Benfica,Primeira Liga,RW,37
Leandro Paredes,Argentina,Roma,Serie A,CDM,31
Rick Karsdorp,Netherlands,Roma,Serie A,RB,30
Houssem Aouar,Algeria,Roma,Serie A,CAM,27
Stephan El Shaarawy,Italy,Roma,Serie A,LW,32
Diego Costa,Brazil,Botafogo,Brazil Serie A,ST,36
Claudio Bravo,Chile,Real Betis,La Liga,GK,42
Ayoze Pérez,Spain,Real Betis,La Liga,ST,32
Luiz Felipe,Brazil,Al-Ittihad,Saudi Pro League,CB,28
Fabinho,Brazil,Al-Ittihad,Saudi Pro League,CDM,31
N'Golo Kanté,France,Al-Ittihad,Saudi Pro League,CDM,34
Igor Coronado,Brazil,Al-Ittihad,Saudi Pro League,CAM,33
Jota,Portugal,Al-Ittihad,Saudi Pro League,LW,26
Karim Rekik,Netherlands,Al-Jazira,UAE Pro League,CB,30
Omar Al-Somah,Syria,Al-Arabi,Qatar Stars League,ST,36
Baghdad Bounedjah,Algeria,Al Sadd,Qatar Stars League,ST,33
Akram Afif,Qatar,Al Sadd,Qatar Stars League,LW,28
Hassan Al-Haydos,Qatar,Al Sadd,Qatar Stars League,RW,34
Matthias Ginter,Germany,Freiburg,Bundesliga,CB,31
Vincenzo Grifo,Italy,Freiburg,Bundesliga,LW,32
Maximilian Eggestein,Germany,Freiburg,Bundesliga,CM,28
Christian Günter,Germany,Freiburg,Bundesliga,LB,32
Ritsu Doan,Japan,Freiburg,Bundesliga,RW,27
Nils Petersen,Germany,Freiburg,Bundesliga,ST,36
Mark Flekken,Netherlands,Brentford,Premier League,GK,32
M'Baye Niang,Senegal,Adana Demirspor,Turkish Süper Lig,ST,30
Mario Balotelli,Italy,Adana Demirspor,Turkish Süper Lig,ST,35
Younès Belhanda,Morocco,Adana Demirspor,Turkish Süper Lig,CAM,35
Edinson Cavani,Uruguay,Boca Juniors,Argentina Primera,ST,38
Marcos Rojo,Argentina,Boca Juniors,Argentina Primera,CB,35
Sergio Romero,Argentina,Boca Juniors,Argentina Primera,GK,38
Darío Benedetto,Argentina,Boca Juniors,Argentina Primera,ST,35
Guillermo Fernández,Argentina,Boca Juniors,Argentina Primera,CM,34
Enzo Pérez,Argentina,Estudiantes,Argentina Primera,CM,39
Luciano Vietto,Argentina,Al-Qadsiah,Saudi Pro League,ST,31
Jonathan Calleri,Argentina,São Paulo,Brazil Serie A,ST,32
James Rodríguez,Colombia,São Paulo,Brazil Serie A,CAM,34
Lucas Moura,Brazil,São Paulo,Brazil Serie A,RW,33
Rafinha,Brazil,São Paulo,Brazil Serie A,RB,39
Éder Militão,Brazil,Real Madrid,La Liga,CB,27
Anderson Talisca,Brazil,Al Nassr,Saudi Pro League,CAM,31
Otávio,Portugal,Al Nassr,Saudi Pro League,CM,30
Marcelo Brozović,Croatia,Al Nassr,Saudi Pro League,CM,33
David Ospina,Colombia,Al Nassr,Saudi Pro League,GK,36
Ali Al-Hassan,Saudi Arabia,Al Nassr,Saudi Pro League,CM,27
Abdulelah Al-Amri,Saudi Arabia,Al Nassr,Saudi Pro League,CB,28
Pizzi,Portugal,Braga,Primeira Liga,CM,35
Abel Ruiz,Spain,Braga,Primeira Liga,ST,25
Ricardo Horta,Portugal,Braga,Primeira Liga,LW,30
José Fonte,Portugal,Braga,Primeira Liga,CB,41
Simon Banza,DR Congo,Braga,Primeira Liga,ST,29
Pepe,Portugal,Porto,Primeira Liga,CB,42
Diogo Costa,Portugal,Porto,Primeira Liga,GK,26
Evanilson,Brazil,Porto,Primeira Liga,ST,26
Mehdi Taremi,Iran,Porto,Primeira Liga,ST,33
Stephen Eustáquio,Canada,Porto,Primeira Liga,CM,28
Otávio,Brazil,Porto,Primeira Liga,RW,30
Galeno,Brazil,Porto,Primeira Liga,LW,28
Mateus Uribe,Colombia,Al-Sadd,Qatar Stars League,CM,34
André-Franck Zambo Anguissa,Cameroon,Napoli,Serie A,CM,29
Manuel Lazzari,Italy,Lazio,Serie A,RB,31
Patric,Spain,Lazio,Serie A,CB,32
Felipe Anderson,Brazil,Palmeiras,Brazil Serie A,RW,32
Dudu,Brazil,Palmeiras,Brazil Serie A,LW,33
Raphael Veiga,Brazil,Palmeiras,Brazil Serie A,CAM,30
Endrick,Brazil,Palmeiras,Brazil Serie A,ST,19
Weverton,Brazil,Palmeiras,Brazil Serie A,GK,37
Marquinhos Cipriano,Brazil,Cruzeiro,Brazil Serie A,LW,26
Paulinho,Brazil,Corrinthians,Brazil Serie A,CM,36
Gustavo Scarpa,Brazil,Nottingham Forest,Premier League,CM,31
Emerson Royal,Brazil,Tottenham Hotspur,Premier League,RB,26
Rodinei,Brazil,Olympiacos,Greek Super League,RB,33
James Tavernier,England,Rangers,Scottish Premiership,RB,33
Kemar Roofe,Jamaica,Rangers,Scottish Premiership,ST,32
Ryan Kent,England,Fenerbahçe,Turkish Süper Lig,LW,28
John Souttar,Scotland,Rangers,Scottish Premiership,CB,29
Joe Hart,England,Celtic,Scottish Premiership,GK,38
Kyogo Furuhashi,Japan,Celtic,Scottish Premiership,ST,30
Callum McGregor,Scotland,Celtic,Scottish Premiership,CM,32
Daizen Maeda,Japan,Celtic,Scottish Premiership,LW,27
Liel Abada,Israel,Celtic,Scottish Premiership,RW,23
Jota,Portugal,Al-Ittihad,Saudi Pro League,LW,26
Nordin Amrabat,Morocco,Al-Ittihad,Saudi Pro League,RW,36
